game_id,court_position
0021500009,0
0021500024,1
0021500042,1
0021500057,1
0021500066,0
0021500075,0
0021500096,0
0021500109,1
0021500115,1
0021500131,1
0021500150,0
0021500164,1
0021500173,1
0021500188,1
0021500196,1
0021500219,1
0021500239,1
0021500250,1
0021500272,0
0021500278,1
0021500290,1
0021500308,1
0021500323,0
0021500337,1
0021500355,1
0021500357,1
0021500383,1
0021500390,0
0021500408,1
0021500421,1
0021500441,0
0021500463,0
0021500477,1
0021500492,1
0021500507,0
0021500511,1
0021500529,1
0021500540,1
0021500554,1
0021500621,0
0021500633,0
0021500649,1
